Team,Home Win Percentage,Away Win Percentage,Total Win Percentage
Spain,0.7380952380952381,0.5,0.6190476190476191
Belgium,0.6296296296296297,0.39285714285714285,0.5112433862433863
Netherlands,0.375,0.6086956521739131,0.49184782608695654
France,0.5142857142857142,0.46153846153846156,0.4879120879120879
Portugal,0.55,0.4,0.47500000000000003
Italy,0.59375,0.34285714285714286,0.46830357142857143
Denmark,0.59375,0.3125,0.453125
England,0.5208333333333334,0.37142857142857144,0.4461309523809524
Croatia,0.3055555555555556,0.5294117647058824,0.41748366013071897
Turkey,0.5,0.3,0.4
Hungary,0.2903225806451613,0.4666666666666667,0.378494623655914
Germany,0.4318181818181818,0.2692307692307692,0.3505244755244755
Austria,0.21428571428571427,0.3939393939393939,0.3041125541125541
Czech Republic,0.4230769230769231,0.16666666666666666,0.2948717948717949
Switzerland,0.375,0.18604651162790697,0.2805232558139535
Scotland,0.4,0.13793103448275862,0.2689655172413793
Poland,0.3125,0.18181818181818182,0.2471590909090909
Albania,0.3,0.18181818181818182,0.2409090909090909
Slovakia,0.21052631578947367,0.2608695652173913,0.23569794050343248
Romania,0.2857142857142857,0.15384615384615385,0.21978021978021978
Ukraine,0.3076923076923077,0.11764705882352941,0.21266968325791857
Georgia,0.25,0.15,0.2
Slovenia,0.2631578947368421,0.05555555555555555,0.1593567251461988
Serbia,0.09090909090909091,0.12,0.10545454545454545
